adduser	3.137ubuntu1
apt	2.8.3
base-files	13ubuntu10.2
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
binutils	2.42-4ubuntu2.5
binutils-common:amd64	2.42-4ubuntu2.5
binutils-x86-64-linux-gnu	2.42-4ubuntu2.5
bsdutils	1:2.39.3-9ubuntu6.6
build-essential	12.10ubuntu1
bzip2	1.0.8-5.1build0.1
ca-certificates	20240203
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
coreutils	9.4-3ubuntu6
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cuda-cccl-13-0	13.0.50-1
cuda-command-line-tools-13-0	13.0.0-1
cuda-compat-13-0	580.65.06-0ubuntu1
cuda-compiler-13-0	13.0.0-1
cuda-crt-13-0	13.0.48-1
cuda-cudart-13-0	13.0.48-1
cuda-cudart-dev-13-0	13.0.48-1
cuda-culibos-dev-13-0	13.0.39-1
cuda-cuobjdump-13-0	13.0.39-1
cuda-cupti-13-0	13.0.48-1
cuda-cupti-dev-13-0	13.0.48-1
cuda-cuxxfilt-13-0	13.0.39-1
cuda-driver-dev-13-0	13.0.48-1
cuda-gdb-13-0	13.0.39-1
cuda-libraries-13-0	13.0.0-1
cuda-libraries-dev-13-0	13.0.0-1
cuda-minimal-build-13-0	13.0.0-1
cuda-nsight-compute-13-0	13.0.0-1
cuda-nvcc-13-0	13.0.48-1
cuda-nvdisasm-13-0	13.0.39-1
cuda-nvml-dev-13-0	13.0.39-1
cuda-nvprune-13-0	13.0.39-1
cuda-nvrtc-13-0	13.0.48-1
cuda-nvrtc-dev-13-0	13.0.48-1
cuda-nvtx-13-0	13.0.39-1
cuda-opencl-13-0	13.0.39-1
cuda-profiler-api-13-0	13.0.39-1
cuda-sandbox-dev-13-0	13.0.39-1
cuda-sanitizer-13-0	13.0.48-1
cuda-toolkit-13-0-config-common	13.0.48-1
cuda-toolkit-13-config-common	13.0.48-1
cuda-toolkit-config-common	13.0.48-1
curl	8.5.0-2ubuntu10.13
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
debconf	1.5.86ubuntu1
debianutils	5.17build1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.3
distro-info-data	0.72-0ubuntu0.24.04.1
dpkg	1.22.6ubuntu6.1
dpkg-dev	1.22.6ubuntu6.1
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
findutils	4.9.0-5build1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gnupg	2.4.4-2ubuntu17.3
gnupg-utils	2.4.4-2ubuntu17.3
gnupg2	2.4.4-2ubuntu17.3
gpg	2.4.4-2ubuntu17.3
gpg-agent	2.4.4-2ubuntu17.3
gpgconf	2.4.4-2ubuntu17.3
gpgsm	2.4.4-2ubuntu17.3
gpgv	2.4.4-2ubuntu17.3
grep	3.11-4build1
gzip	1.12-1ubuntu3.1
hostname	3.23+nmu2ubuntu2
ibverbs-providers:amd64	50.0-2ubuntu0.2
init-system-helpers	1.66ubuntu1
iso-codes	4.16.0-1
keyboxd	2.4.4-2ubuntu17.3
less	590-2ubuntu2.1
libacl1:amd64	2.3.2-1build1.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5:amd64	1.0.2-1build6
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libargon2-1:amd64	0~20190702+dfsg-4build1
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libassuan0:amd64	2.5.6-1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libbinutils:amd64	2.42-4ubuntu2.5
libblkid1:amd64	2.39.3-9ubuntu6.6
libbrotli1:amd64	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.8
libc-dev-bin	2.39-0ubuntu8.8
libc6:amd64	2.39-0ubuntu8.8
libc6-dev:amd64	2.39-0ubuntu8.8
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libclang-18-dev	1:18.1.3-1ubuntu1
libclang-common-18-dev:amd64	1:18.1.3-1ubuntu1
libclang-dev	1:18.0-59~exp2
libclang1-18	1:18.1.3-1ubuntu1
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:amd64	2.42-4ubuntu2.5
libctf0:amd64	2.42-4ubuntu2.5
libcublas-13-0	13.0.0.19-1
libcublas-dev-13-0	13.0.0.19-1
libcufft-13-0	12.0.0.15-1
libcufft-dev-13-0	12.0.0.15-1
libcufile-13-0	1.15.0.42-1
libcufile-dev-13-0	1.15.0.42-1
libcurand-13-0	10.4.0.35-1
libcurand-dev-13-0	10.4.0.35-1
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13
libcurl4t64:amd64	8.5.0-2ubuntu10.13
libcusolver-13-0	12.0.3.29-1
libcusolver-dev-13-0	12.0.3.29-1
libcusparse-13-0	12.6.2.49-1
libcusparse-dev-13-0	12.6.2.49-1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdebconfclient0:amd64	0.271ubuntu3
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdpkg-perl	1.22.6ubuntu6.1
libduktape207:amd64	2.7.0+tests-0ubuntu3
libdw1t64:amd64	0.190-1.1ubuntu0.1
libedit2:amd64	3.1-20230828-1build1
libelf1t64:amd64	0.190-1.1ubuntu0.1
liberror-perl	0.17029-2
libevent-core-2.1-7t64:amd64	2.1.12-stable-9ubuntu2.1
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libfdisk1:amd64	2.39.3-9ubuntu6.6
libffi8:amd64	3.4.6-1build1
libfido2-1:amd64	1.14.0-1build3
libgc1:amd64	1:8.2.6-1build1
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2build1
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgirepository-1.0-1:amd64	1.80.1-1
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.4
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1
libgprofng0:amd64	2.42-4ubuntu2.5
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libibverbs-dev:amd64	50.0-2ubuntu0.2
libibverbs1:amd64	50.0-2ubuntu0.2
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1.1
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libjansson4:amd64	2.14-2build2
libjson-c5:amd64	0.17-1build1
libjsoncpp25:amd64	1.9.5-6build1
libk5crypto3:amd64	1.20.1-6ubuntu2.8
libkeyutils1:amd64	1.6.3-3build1
libkmod2:amd64	31+20240202-2ubuntu7.2
libkrb5-3:amd64	1.20.1-6ubuntu2.8
libkrb5support0:amd64	1.20.1-6ubuntu2.8
libksba8:amd64	1.6.6-1build1
libldap2:amd64	2.6.7+dfsg-1~exp1ubuntu8.2
libllvm18:amd64	1:18.1.3-1ubuntu1
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.2
libmd0:amd64	1.1.0-2build1.1
libmount1:amd64	2.39.3-9ubuntu6.6
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1.1
libnccl-dev	2.31.2-1+cuda13.3
libnccl2	2.31.2-1+cuda13.3
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-3-dev:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-dev:amd64	3.7.0-0.3build1.1
libnpp-13-0	13.0.0.50-1
